# Znak Russian dictionary.
# Source: hingston/russian 50000-russian-words-cyrillic-only.txt
# Derived from University of Leeds Corpus, CC BY Attribution.
# Format:
#   word frequency
# Lines beginning with # are ignored. Frequency is optional; higher means earlier.
хозяйство 98708
жертва 98707
открывать 98706
произнести 98705
ученик 98704
организм 98703
послать 98702
заявление 98701
достижение 98700
вверх 98699
бутылка 98698
признать 98697
определять 98696
доля 98695
уехать 98694
измениться 98693
мозг 98692
рисунок 98691
прежний 98690
музей 98689
зависимость 98688
дождь 98687
реализация 98686
улыбка 98685
восток 98684
трудный 98683
собрание 98682
улыбнуться 98681
хлеб 98680
бабушка 98679
тень 98678
испытывать 98677
стихи 98676
домашний 98675
полагать 98674
снимать 98673
сегодняшний 98672
активный 98671
получение 98670
помещение 98669
опасный 98668
объявить 98667
очевидно 98666
кожа 98665
электронный 98664
морской 98663
нарушение 98662
обеспечить 98661
ужас 98660
акт 98659
содержать 98658
учить 98657
инструмент 98656
лидер 98655
комитет 98654
фигура 98653
отсюда 98652
пост 98651
лагерь 98650
след 98649
улыбаться 98648
оставлять 98647
собственность 98646
раздел 98645
реальность 98644
потеря 98643
зима 98642
экран 98641
милый 98640
погибнуть 98639
традиционный 98638
здравствовать 98637
переход 98636
поздно 98635
кровать 98634
посвятить 98633
урок 98632
секс 98631
родина 98630
вино 98629
комплекс 98628
сталин 98627
зона 98626
колено 98625
звучать 98624
коллега 98623
бедный 98622
появление 98621
издание 98620
э 98619
резко 98618
поговорить 98617
еврей 98616
нечего 98615
бюджет 98614
редко 98613
разговаривать 98612
учет 98611
князь 98610
этаж 98609
честь 98608
признак 98607
требоваться 98606
истина 98605
замечательный 98604
плакать 98603
потребность 98602
придумать 98601
долг 98600
храм 98599
заходить 98598
опасность 98597
объяснять 98596
депутат 98595
невозможно 98594
поступить 98593
выбирать 98592
достигнуть 98591
сохранить 98590
встретиться 98589
ю 98588
предполагать 98587
глубина 98586
приказ 98585
категория 98584
полет 98583
игорь 98582
горячий 98581
устроить 98580
строить 98579
администрация 98578
